Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Quarter,Month,Week,Day,Lag_52_Sales,Lag_1_Sales,Rolling_Mean_3W,Rolling_Std_3W,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,1,2,5,5,1035127.1478412698,1047210.4649170579,1047132.9692296297,71789.19285307507,0,0,0,1
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,1,2,6,12,1035127.1478412698,1643690.9,1047132.9692296297,71789.19285307507,0,0,0,1
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,1,2,7,19,1035127.1478412698,1641957.44,1047132.9692296297,71789.19285307507,0,0,0,1
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,1,2,8,26,1035127.1478412698,1611968.17,1632538.8366666667,17835.791718514614,0,0,0,1
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,1,3,9,5,1035127.1478412698,1409727.59,1554551.0666666667,126313.96844430412,0,1,0,0
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,1,3,10,12,1035127.1478412698,1554806.68,1525500.8133333332,104256.59890624421,0,1,0,0
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,1,3,11,19,1035127.1478412698,1439541.59,1468025.2866666669,76619.03367085826,0,1,0,0
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,1,3,12,26,1035127.1478412698,1472515.79,1488954.6866666668,59364.87375452007,0,1,0,0
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,2,4,13,2,1035127.1478412698,1404429.92,1438829.0999999999,34048.52647199872,0,1,0,0
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,2,4,14,9,1035127.1478412698,1594968.28,1490637.9966666668,96553.2362933762,0,1,0,0
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,2,4,15,16,1035127.1478412698,1545418.53,1514938.9100000001,98858.34352436225,0,1,0,0
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,2,4,16,23,1035127.1478412698,1466058.28,1535481.6966666665,65026.93686097278,0,1,0,0
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,2,4,17,30,1035127.1478412698,1391256.12,1467577.6433333333,77092.4348620285,0,1,0,0
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,2,5,18,7,1035127.1478412698,1425100.71,1427471.7033333331,37457.40236864406,0,1,0,0
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,2,5,19,14,1035127.1478412698,1603955.12,1473437.3166666667,114291.45553490042,0,1,0,0
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,2,5,20,21,1035127.1478412698,1494251.5,1507769.11,90190.1842175533,0,1,0,0
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,2,5,21,28,1035127.1478412698,1399662.07,1499289.5633333335,102239.66515589107,0,1,0,0
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,2,6,22,4,1035127.1478412698,1432069.95,1441994.5066666666,48069.352873777396,0,0,1,0
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,2,6,23,11,1035127.1478412698,1615524.71,1482418.9100000001,116406.32786388235,0,0,1,0
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,2,6,24,18,1035127.1478412698,1542561.09,1530051.9166666667,92364.88404570756,0,0,1,0
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,2,6,25,25,1035127.1478412698,1503284.06,1553789.9533333334,56956.618640195666,0,0,1,0
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,3,7,26,2,1035127.1478412698,1422711.6,1489518.9166666667,61098.97250818132,0,0,1,0
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,3,7,27,9,1035127.1478412698,1492418.14,1472804.6000000003,43720.68779321363,0,0,1,0
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,3,7,28,16,1035127.1478412698,1546074.18,1487067.9733333334,61855.07051636902,0,0,1,0
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,3,7,29,23,1035127.1478412698,1448938.92,1495810.4133333333,48656.40063334927,0,0,1,0
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,3,7,30,30,1035127.1478412698,1385065.2,1460026.0999999999,81075.07064705198,0,0,1,0
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,3,8,31,6,1035127.1478412698,1371986.6,1401996.906666667,41175.56200381746,0,0,1,0
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,3,8,32,13,1035127.1478412698,1605491.78,1454181.1933333334,131201.87754963044,0,0,1,0
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,3,8,33,20,1035127.1478412698,1508237.76,1495238.7133333336,117294.0692549705,0,0,1,0
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,3,8,34,27,1035127.1478412698,1513080.49,1542270.01,54805.17457241598,0,0,1,0
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,3,9,35,3,1035127.1478412698,1449142.92,1490153.7233333334,35598.841287285286,1,0,0,0
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,3,9,36,10,1035127.1478412698,1540163.53,1500795.6466666665,46737.30729285253,1,0,0,0
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,3,9,37,17,1035127.1478412698,1507460.69,1498922.38,46107.102646286425,1,0,0,0
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,3,9,38,24,1035127.1478412698,1430378.67,1492667.63,56367.586780238315,1,0,0,0
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,4,10,39,1,1035127.1478412698,1351791.03,1429876.7966666666,77836.04350659823,1,0,0,0
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,4,10,40,8,1035127.1478412698,1453329.5,1411833.0666666667,53249.12933310148,1,0,0,0
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,4,10,41,15,1035127.1478412698,1508239.93,1437786.82,79374.08742145896,1,0,0,0
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,2010,4,10,42,22,1035127.1478412698,1459409.1,1473659.5099999998,30101.40311633965,1,0,0,0
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,4,10,43,29,1035127.1478412698,1345454.0,1437701.0099999998,83535.89426155327,1,0,0,0
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,4,11,44,5,1035127.1478412698,1384209.22,1396357.4400000002,57940.70797702546,1,0,0,0
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,4,11,45,12,1035127.1478412698,1551659.28,1427107.5,109591.74784256575,1,0,0,0
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,4,11,46,19,1035127.1478412698,1494479.49,1476782.6633333333,85116.178861915,1,0,0,0
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,4,11,47,26,1035127.1478412698,1483784.18,1509974.3166666667,36494.17131645937,1,0,0,0
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,2010,4,12,48,3,1035127.1478412698,1955624.11,1644629.26,269382.525340622,0,0,0,1
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,4,12,49,10,1035127.1478412698,1548033.78,1662480.6900000002,255894.12125332668,0,0,0,1
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,4,12,50,17,1035127.1478412698,1682614.26,1728757.3833333335,207676.09431659072,0,0,0,1
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,4,12,51,24,1035127.1478412698,1891034.93,1707227.6566666665,172820.17155683387,0,0,0,1
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,4,12,52,31,1035127.1478412698,2387950.2,1987199.7966666669,362367.84935985133,0,0,0,1
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,1,1,1,7,1035127.1478412698,1367320.01,1882101.7133333336,510373.73360594193,0,0,0,1
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,2011,1,1,2,14,1035127.1478412698,1444732.28,1733334.1633333333,568233.9144071911,0,0,0,1
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,2011,1,1,3,21,1035127.1478412698,1391013.96,1401022.0833333333,39664.679327198304,0,0,0,1
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,2011,1,1,4,28,1035127.1478412698,1327405.42,1387717.22,58732.86465289636,0,0,0,1
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,1,2,5,4,1643690.9,1316899.31,1345106.23,40102.79718607586,0,0,0,1
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,1,2,6,11,1641957.44,1606629.58,1416978.1033333335,164326.98055468037,0,0,0,1
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2011,1,2,7,18,1611968.17,1649614.93,1524381.2733333334,180965.49093721298,0,0,0,1
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2011,1,2,8,25,1409727.59,1686842.78,1647695.7633333334,40141.023455820956,0,0,0,1
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,1,3,9,4,1554806.68,1456800.28,1597752.6633333333,123479.3868603814,0,1,0,0
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,1,3,10,11,1439541.59,1636263.41,1593302.156666667,120888.95697101753,0,1,0,0
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,2011,1,3,11,18,1472515.79,1553191.63,1548751.7733333334,89813.90762440136,0,1,0,0
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,2011,1,3,12,25,1404429.92,1576818.06,1588757.7,42803.57941328256,0,1,0,0
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,2,4,13,1,1594968.28,1541102.38,1557037.3566666667,18165.755136011416,0,1,0,0
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,2,4,14,8,1545418.53,1495064.75,1537661.7299999997,40985.112886337185,0,1,0,0
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,2011,2,4,15,15,1466058.28,1614259.35,1550142.1600000001,60109.2870039746,0,1,0,0
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,2011,2,4,16,22,1391256.12,1559889.0,1556404.3666666665,59673.65557254485,0,1,0,0
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,2011,2,4,17,29,1425100.71,1564819.81,1579656.0533333335,30068.577069174364,0,1,0,0
1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,2011,2,5,18,6,1603955.12,1455090.69,1526599.8333333333,61977.78962672317,0,1,0,0
1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,2011,2,5,19,13,1494251.5,1629391.28,1549767.26,88119.8522735587,0,1,0,0
1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,2011,2,5,20,20,1399662.07,1604775.58,1563085.8499999999,94332.91636110695,0,1,0,0
1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,2011,2,5,21,27,1432069.95,1428218.27,1554128.3766666667,109733.76596212739,0,1,0,0
1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,2011,2,6,22,3,1615524.71,1466046.67,1499680.173333333,92959.83185475343,0,0,1,0
1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,2011,2,6,23,10,1542561.09,1635078.41,1509781.1166666665,110146.74643008977,0,0,1,0
1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,2011,2,6,24,17,1503284.06,1588948.32,1563357.8,87373.27003872284,0,0,1,0
1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,2011,2,6,25,24,1422711.6,1532114.86,1585380.53,51574.41227259439,0,0,1,0
1,2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,2011,3,7,26,1,1492418.14,1438830.15,1519964.4433333334,75793.07824542676,0,0,1,0
1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,2011,3,7,27,8,1546074.18,1488538.09,1486494.3666666665,46675.92402666956,0,0,1,0
1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,2011,3,7,28,15,1448938.92,1534849.64,1487405.96,48019.75534837392,0,0,1,0
1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,2011,3,7,29,22,1385065.2,1455119.97,1492835.9000000001,40038.21234363832,0,0,1,0
1,2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,2011,3,7,30,29,1371986.6,1396926.82,1462298.8099999998,69241.08518067369,0,0,1,0
1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.962,2011,3,8,31,5,1605491.78,1352219.79,1401422.1933333334,51597.17092111508,0,0,1,0
1,2011-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962,2011,3,8,32,12,1508237.76,1624383.75,1457843.4533333334,145950.10258037245,0,0,1,0
1,2011-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,2011,3,8,33,19,1513080.49,1525147.09,1500583.5433333332,137734.64033914803,0,0,1,0
1,2011-08-26,1464693.46,0,87.96,3.523,215.7332258,7.962,2011,3,8,34,26,1449142.92,1530761.43,1560097.423333333,55744.318550223295,0,0,1,0
1,2011-09-02,1550229.22,0,87.83,3.533,215.7971409,7.962,2011,3,9,35,2,1540163.53,1464693.46,1506867.326666667,36631.359183384746,1,0,0,0
1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,2011,3,9,36,9,1507460.69,1550229.22,1515228.0366666669,44833.651323869795,1,0,0,0
1,2011-09-16,1514259.78,0,79.94,3.526,216.0410526,7.962,2011,3,9,37,16,1430378.67,1540471.24,1518464.64,46822.10367299073,1,0,0,0
1,2011-09-23,1380020.27,0,75.8,3.467,216.3758246,7.962,2011,3,9,38,23,1351791.03,1514259.78,1534986.7466666668,18601.341452185447,1,0,0,0
1,2011-09-30,1394561.83,0,79.69,3.355,216.7105965,7.962,2011,3,9,39,30,1453329.5,1380020.27,1478250.43,86073.41871363112,1,0,0,0
1,2011-10-07,1630989.95,0,69.31,3.285,217.0453684,7.866,2011,4,10,40,7,1508239.93,1394561.83,1429613.96,73665.12318874347,1,0,0,0
1,2011-10-14,1493525.93,0,71.74,3.274,217.3552733,7.866,2011,4,10,41,14,1459409.1,1630989.95,1468524.0166666666,140887.36232257207,1,0,0,0
1,2011-10-21,1502562.78,0,63.71,3.353,217.5159762,7.866,2011,4,10,42,21,1345454.0,1493525.93,1506359.2366666666,118735.3540512851,1,0,0,0
1,2011-10-28,1445249.09,0,66.57,3.372,217.6766791,7.866,2011,4,10,43,28,1384209.22,1502562.78,1542359.5533333335,76889.05367117267,1,0,0,0
1,2011-11-04,1697229.58,0,54.98,3.332,217.837382,7.866,2011,4,11,44,4,1551659.28,1445249.09,1480445.9333333333,30814.436550973758,1,0,0,0
1,2011-11-11,1594938.89,0,59.11,3.297,217.9980849,7.866,2011,4,11,45,11,1494479.49,1697229.58,1548347.1500000001,132082.16472098927,1,0,0,0
1,2011-11-18,1539483.7,0,62.25,3.308,218.2205088,7.866,2011,4,11,46,18,1483784.18,1594938.89,1579139.1866666668,126731.0727652292,1,0,0,0
1,2011-11-25,2033320.66,1,60.14,3.236,218.4676211,7.866,2011,4,11,47,25,1955624.11,1539483.7,1610550.7233333334,80023.35702321031,1,0,0,0
1,2011-12-02,1584083.95,0,48.91,3.172,218.7147333,7.866,2011,4,12,48,2,1548033.78,2033320.66,1722581.0833333333,270533.0532573015,0,0,0,1
1,2011-12-09,1799682.38,0,43.93,3.158,218.9618456,7.866,2011,4,12,49,9,1682614.26,1584083.95,1718962.7699999998,273153.7256362326,0,0,0,1
1,2011-12-16,1881176.67,0,51.63,3.159,219.1794533,7.866,2011,4,12,50,16,1891034.93,1799682.38,1805695.663333333,224678.71524744073,0,0,0,1
1,2011-12-23,2270188.99,0,47.96,3.112,219.3577216,7.866,2011,4,12,51,23,2207742.13,1881176.67,1754981.0,153507.91868720434,0,0,0,1
1,2011-12-30,1497462.72,1,44.55,3.129,219.5359898,7.866,2011,4,12,52,30,1367320.01,2270188.99,1983682.68,251445.28048466545,0,0,0,1
